Moisture,ADC,Temperature,Humidity
18.19,2897,30.7,59
6.9,2945,30.7,59
29.43,2831,30.7,59
18.19,2897,30.9,59
9.47,2935,30.9,59
28.89,2835,30.9,59
16.28,2906,30.7,59
4.76,2953,30.7,59
26.86,2849,30.7,59
17.35,2901,30.8,59
6.37,2947,30.8,59
29.16,2833,30.8,59
17.98,2898,30.8,59
12.64,2922,30.8,59
29.56,2830,30.8,59
17.14,2902,30,59
7.94,2941,30,59
28.47,2838,30,59
17.35,2901,30.2,58
10.22,2932,30.2,58
-160.22,3303,30.2,58
15.39,2910,30.1,58
9.47,2935,30.1,58
29.82,2828,30.1,58
17.35,2901,30.8,58
6.64,2946,30.8,58
31.17,2817,30.8,58
17.35,2901,30.3,58
8.71,2938,30.3,58
29.3,2832,30.3,58
16.71,2904,30.2,58
6.64,2946,30.2,58
24.77,2862,30.2,58
17.14,2902,30.2,58
7.94,2941,30.2,58
26.7,2850,30.2,58
17.14,2902,30.5,58
8.71,2938,30.5,58
30.08,2826,30.5,58
32.28,2807,30.2,58
-48.83,3103,30.2,58
26.7,2850,30.2,58
17.35,2901,30.2,58
10.96,2929,30.2,58
27.76,2843,30.2,58
17.98,2898,30,58
6.64,2946,30,58
36.66,2686,30,58
17.35,2901,30.3,58
4.22,2955,30.3,58
26.86,2849,30.3,58
17.56,2900,30.6,58
22.85,2873,30.6,58
28.89,2835,30.6,58
17.14,2902,30.9,58
8.96,2937,30.9,58
33.64,2793,30.9,58
17.14,2902,30.3,58
7.42,2943,30.3,58
28.33,2839,30.3,58
18.19,2897,30,58
12.4,2923,30,58
29.95,2827,30,58
16.92,2903,30.2,58
11.92,2925,30.2,58
31.06,2818,30.2,58
17.14,2902,30.6,58
5.3,2951,30.6,58
27.16,2847,30.6,58
17.35,2901,30.5,58
8.71,2938,30.5,58
28.61,2837,30.5,58
17.77,2899,30.4,58
1.7,2964,30.4,58
27.76,2843,30.4,58
17.56,2900,30,58
6.37,2947,30,58
37.1,2722,30,58
16.92,2903,30.1,57
4.22,2955,30.1,57
31.91,2619,30.1,57
16.28,2906,30.3,57
10.71,2930,30.3,57
29.03,2834,30.3,57
17.35,2901,30.7,57
3.39,2958,30.7,57
28.75,2836,30.7,57
16.92,2903,30.2,58
-42.32,3088,30.2,58
28.33,2839,30.2,58
17.77,2899,30.2,57
8.46,2939,30.2,57
28.47,2838,30.2,57
15.62,2909,30.1,57
7.42,2943,30.1,57
27.31,2846,30.1,57
17.35,2901,30.3,57
7.16,2944,30.3,57
24.77,2862,30.3,57
16.28,2906,30.1,57
9.72,2934,30.1,57
24.94,2861,30.1,57
17.35,2901,30.7,57
3.39,2958,30.7,57
28.75,2836,30.7,57
17.35,2901,30.2,57
9.47,2935,30.2,57
27.46,2845,30.2,57
11.44,2927,30.1,57
11.2,2928,30.1,57
11.44,2927,30.1,57
16.92,2903,30.1,57
5.3,2951,30.1,57
26.55,2851,30.1,57
15.39,2910,30.3,57
14.95,2912,30.3,57
4.89,2477,30.3,57
17.98,2898,30.7,57
20.99,2883,30.7,57
21.37,2881,30.7,57
17.77,2899,30,57
12.88,2921,30,57
28.89,2835,30,57
16.92,2903,30.8,57
7.42,2943,30.8,57
29.3,2832,30.8,57
17.77,2899,30.2,57
6.64,2946,30.2,57
29.69,2829,30.2,57
19.01,2893,30.7,57
6.64,2946,30.7,57
29.95,2827,30.7,57
-11.91,3008,30.4,57
7.16,2944,30.4,57
32.39,2806,30.4,57
18.19,2897,30.1,57
9.72,2934,30.1,57
30.08,2826,30.1,57
17.98,2898,30.3,57
6.37,2947,30.3,57
27.16,2847,30.3,57
17.77,2899,30.1,57
9.47,2935,30.1,57
-17.06,3023,30.1,57
21.75,2879,30.3,57
10.96,2929,30.3,57
29.56,2830,30.3,57
16.92,2903,30.1,57
9.72,2934,30.1,57
28.47,2838,30.1,57
15.39,2910,30.7,57
6.37,2947,30.7,57
-263.69,3441,30.7,57
17.35,2901,30.2,57
12.16,2924,30.2,57
-5.76,2989,30.2,57
17.14,2902,30.2,57
5.84,2949,30.2,57
24.26,2865,30.2,57
16.92,2903,30.7,57
0.56,2968,30.7,57
14.49,2914,30.7,57
17.14,2902,30.3,57
-124.44,3247,30.3,57
29.69,2829,30.3,57
17.14,2902,30.1,57
7.42,2943,30.1,57
27.46,2845,30.1,57
17.14,2902,30.3,57
7.68,2942,30.3,57
27.31,2846,30.3,57
17.35,2901,30.1,57
4.49,2954,30.1,57
24.26,2865,30.1,57
15.39,2910,30.7,57
11.2,2928,30.7,57
28.19,2840,30.7,57
17.56,2900,30.2,57
9.47,2935,30.2,57
31.06,2818,30.2,57
18.19,2897,30.7,57
10.47,2931,30.7,57
28.61,2837,30.7,57
33.46,2795,30.9,57
7.94,2941,30.9,57
31.17,2817,30.9,57
17.14,2902,30.1,57
7.94,2941,30.1,57
27.76,2843,30.1,57
17.98,2898,30.7,57
8.2,2940,30.7,57
29.69,2829,30.7,57
17.98,2898,30.6,57
6.64,2946,30.6,57
31.85,2811,30.6,57
17.14,2902,30.9,57
7.16,2944,30.9,57
29.43,2831,30.9,57
11.92,2925,30.9,57
-35.25,3071,30.9,57
29.95,2827,30.9,57
17.35,2901,30.5,57
5.57,2950,30.5,57
29.3,2832,30.5,57
18.4,2896,30.3,57
25.76,2856,30.3,57
26.86,2849,30.3,57
17.35,2901,30.1,57
13.58,2918,30.1,57
24.77,2862,30.1,57
15.62,2909,30.8,57
7.42,2943,30.8,57
-55.15,3117,30.8,57
17.14,2902,30.2,57
7.94,2941,30.2,57
29.03,2834,30.2,57
17.35,2901,30.8,57
3.39,2958,30.8,57
29.43,2831,30.8,57
17.35,2901,30,57
7.68,2942,30,57
25.43,2858,30,57
16.92,2903,30.8,57
8.71,2938,30.8,57
29.3,2832,30.8,57
17.35,2901,30.3,57
11.68,2926,30.3,57
29.16,2833,30.3,57
17.77,2899,30.1,57
8.96,2937,30.1,57
29.3,2832,30.1,57
17.35,2901,30,57
8.96,2937,30,57
28.47,2838,30,57
17.14,2902,30.5,57
6.64,2946,30.5,57
29.3,2832,30.5,57
17.77,2899,30,57
10.71,2930,30,57
26.7,2850,30,57
17.35,2901,30.8,57
12.88,2921,30.8,57
28.33,2839,30.8,57
17.35,2901,30.4,57
6.9,2945,30.4,57
29.43,2831,30.4,57
12.4,2923,30.1,57
5.3,2951,30.1,57
30.45,2823,30.1,57
17.35,2901,30,57
6.9,2945,30,57
25.43,2858,30,57
18.19,2897,30.8,57
4.76,2953,30.8,57
28.47,2838,30.8,57
16.28,2906,30.4,57
16.28,2906,30.4,57
28.33,2839,30.4,57
16.92,2903,30.1,57
7.42,2943,30.1,57
28.05,2841,30.1,57
16.92,2903,30,57
8.46,2939,30,57
28.05,2841,30,57
17.14,2902,30.8,57
5.84,2949,30.8,57
30.58,2822,30.8,57
17.77,2899,30.3,57
7.16,2944,30.3,57
31.63,2813,30.3,57
16.92,2903,30.1,57
5.57,2950,30.1,57
28.61,2837,30.1,57
14.49,2914,30,57
7.42,2943,30,57
25.43,2858,30,57
18.81,2894,30.8,57
8.71,2938,30.8,57
27.46,2845,30.8,57
17.35,2901,30.3,57
11.2,2928,30.3,57
36.48,2681,30.3,57
17.14,2902,30.1,57
10.47,2931,30.1,57
28.61,2837,30.1,57
16.92,2903,30.7,57
3.67,2957,30.7,57
36.73,2688,30.7,57
16.92,2903,30.6,57
11.68,2926,30.6,57
26.7,2850,30.6,57
16.92,2903,30,57
10.22,2932,30,57
26.55,2851,30,57
16.92,2903,30.7,57
7.42,2943,30.7,57
29.43,2831,30.7,57
22.67,2874,30.7,57
8.46,2939,30.7,57
29.95,2827,30.7,57
17.77,2899,30.3,57
6.9,2945,30.3,57
26.55,2851,30.3,57
16.92,2903,30.2,57
-1.2,2974,30.2,57
26.24,2853,30.2,57
16.92,2903,30.9,57
2.83,2960,30.9,57
-192.3,3349,30.9,57
17.14,2902,30.4,57
4.76,2953,30.4,57
30.58,2822,30.4,57
16.92,2903,30.2,57
6.9,2945,30.2,57
29.69,2829,30.2,57
16.92,2903,30.3,57
4.22,2955,30.3,57
27.16,2847,30.3,57
17.14,2902,30.1,57
7.16,2944,30.1,57
29.3,2832,30.1,57
17.98,2898,30.9,57
5.84,2949,30.9,57
28.89,2835,30.9,57
17.14,2902,30.3,57
7.94,2941,30.3,57
29.03,2834,30.3,57
18.4,2896,30.1,57
9.47,2935,30.1,57
27.76,2843,30.1,57
17.14,2902,30.9,57
9.97,2933,30.9,57
30.82,2820,30.9,57
17.35,2901,30.4,57
5.3,2951,30.4,57
33.28,2797,30.4,57
17.14,2902,30.1,57
10.47,2931,30.1,57
28.33,2839,30.1,57
17.35,2901,30.7,57
9.47,2935,30.7,57
30.45,2823,30.7,57
17.14,2902,30.3,57
-134.3,3263,30.3,57
29.43,2831,30.3,57
17.35,2901,30.1,57
-30.85,3060,30.1,57
29.16,2833,30.1,57
16.49,2905,30.7,57
7.42,2943,30.7,57
-28.89,3055,30.7,57
17.35,2901,30.7,57
3.67,2957,30.7,57
25.92,2855,30.7,57
16.92,2903,30.2,57
8.46,2939,30.2,57
28.75,2836,30.2,57
17.35,2901,30.5,57
5.57,2950,30.5,57
27.31,2846,30.5,57
17.77,2899,30,57
5.03,2952,30,57
29.03,2834,30,57
16.92,2903,30.7,57
5.3,2951,30.7,57
28.89,2835,30.7,57
17.35,2901,30.2,57
12.64,2922,30.2,57
28.89,2835,30.2,57
17.77,2899,30.3,57
9.47,2935,30.3,57
29.03,2834,30.3,57
0.28,2906,30.1,57
29.16,2833,30.1,57
17.35,2901,30.7,57
7.42,2943,30.7,57
30.08,2826,30.7,57
16.28,2906,30.6,57
3.67,2957,30.6,57
29.95,2827,30.6,57
17.14,2902,30.3,57
4.49,2954,30.3,57
29.16,2833,30.3,57
16.49,2905,30.8,57
8.71,2938,30.8,57
27.76,2843,30.8,57
17.56,2900,30.4,57
6.9,2945,30.4,57
29.16,2833,30.4,57
17.77,2899,30.8,57
5.57,2950,30.8,57
28.75,2836,30.8,57
17.98,2898,30.2,57
10.71,2930,30.2,57
29.69,2829,30.2,57
17.77,2899,30.2,57
5.3,2951,30.2,57
32.23,2622,30.2,57
17.98,2898,30.2,57
4.22,2955,30.2,57
30.2,2825,30.2,57
18.4,2896,30.9,57
7.42,2943,30.9,57
28.47,2838,30.9,57
16.92,2903,30,57
5.57,2950,30,57
-35.25,3071,30,57
28.47,2838,30.5,57
5.84,2949,30.5,57
29.43,2831,30.5,57
18.19,2897,30,57
24.43,2864,30,57
21.94,2878,30,57
17.77,2899,30.1,57
8.2,2940,30.1,57
29.69,2829,30.1,57
16.92,2903,30.7,57
11.2,2928,30.7,57
29.3,2832,30.7,57
17.56,2900,30.2,57
7.94,2941,30.2,57
27.61,2844,30.2,57
17.14,2902,30.7,57
3.11,2959,30.7,57
36.84,2692,30.7,57
17.14,2902,30.3,57
7.94,2941,30.3,57
29.3,2832,30.3,57
17.56,2900,30.7,57
3.67,2957,30.7,57
28.61,2837,30.7,57
16.92,2903,30,57
6.64,2946,30,57
27.76,2843,30,57
18.19,2897,30.9,57
10.71,2930,30.9,57
29.95,2827,30.9,57
16.06,2907,30,57
7.68,2942,30,57
28.89,2835,30,57
17.77,2899,30,57
7.68,2942,30,57
26.7,2850,30,57
17.77,2899,30.2,57
9.97,2933,30.2,57
29.43,2831,30.2,57
18.4,2896,30.2,57
6.37,2947,30.2,57
25.92,2855,30.2,57
17.14,2902,30.4,57
7.16,2944,30.4,57
26.86,2849,30.4,57
17.35,2901,30.1,57
7.94,2941,30.1,57
29.3,2832,30.1,57
17.35,2901,30,57
10.96,2929,30,57
31.06,2818,30,57
17.35,2901,30.8,57
10.47,2931,30.8,57
29.16,2833,30.8,57
17.56,2900,30.6,57
5.3,2951,30.6,57
30.08,2826,30.6,57
16.49,2905,30.7,57
8.71,2938,30.7,57
29.3,2832,30.7,57
16.92,2903,30.6,57
6.11,2948,30.6,57
29.95,2827,30.6,57
17.35,2901,30.7,57
13.58,2918,30.7,57
29.16,2833,30.7,57
20.99,2883,30.9,57
7.42,2943,30.9,57
30.33,2824,30.9,57
17.77,2899,30.1,57
8.46,2939,30.1,57
31.4,2815,30.1,57
16.06,2907,30.3,57
7.16,2944,30.3,57
31.4,2815,30.3,57
17.35,2901,30.2,57
8.46,2939,30.2,57
29.43,2831,30.2,57
16.28,2906,30.2,57
3.11,2959,30.2,57
29.3,2832,30.2,57
17.14,2902,30.3,57
3.67,2957,30.3,57
28.89,2835,30.3,57
17.77,2899,30.2,57
8.46,2939,30.2,57
29.03,2834,30.2,57
17.56,2900,30.5,57
9.47,2935,30.5,57
29.3,2832,30.5,57
17.14,2902,30,57
6.9,2945,30,57
27.76,2843,30,57
17.56,2900,30.7,57
20.31,2543,30.7,57
28.61,2837,30.7,57
18.4,2896,30.1,57
10.71,2930,30.1,57
27.9,2842,30.1,57
17.56,2900,30.3,57
-145.09,3280,30.3,57
27.76,2843,30.3,57
16.92,2903,30.6,57
13.34,2919,30.6,57
28.61,2837,30.6,57
17.35,2901,30.5,57
10.47,2931,30.5,57
29.3,2832,30.5,57
17.35,2901,30.4,57
8.71,2938,30.4,57
28.33,2839,30.4,57
17.98,2898,30,57
7.42,2943,30,57
24.94,2861,30,57
16.92,2903,30.3,57
7.94,2941,30.3,57
28.47,2838,30.3,57
17.35,2901,30.1,57
7.16,2944,30.1,57
26.86,2849,30.1,57
17.77,2899,30.3,57
11.44,2927,30.3,57
29.43,2831,30.3,57
17.77,2899,30.5,57
9.47,2935,30.5,57
26.24,2853,30.5,57
16.92,2903,30,57
6.37,2947,30,57
26.86,2849,30,57
17.35,2901,30.9,57
7.94,2941,30.9,57
25.27,2859,30.9,57
17.14,2902,30.7,57
7.16,2944,30.7,57
29.03,2834,30.7,57
16.06,2907,30.8,57
8.46,2939,30.8,57
25.6,2857,30.8,57
17.14,2902,30.8,57
9.47,2935,30.8,57
28.05,2841,30.8,57
17.35,2901,30.2,57
7.94,2941,30.2,57
29.95,2827,30.2,57
17.35,2901,30.1,57
7.42,2943,30.1,57
30.08,2826,30.1,57
17.35,2901,30.3,57
6.9,2945,30.3,57
29.56,2830,30.3,57
17.77,2899,30.1,57
6.11,2948,30.1,57
-30.45,3059,30.1,57
17.35,2901,30.3,57
3.39,2958,30.3,57
29.3,2832,30.3,57
17.98,2898,30.1,57
8.71,2938,30.1,57
28.47,2838,30.1,57
17.14,2902,30.3,57
6.9,2945,30.3,57
29.16,2833,30.3,57
18.19,2897,30.1,57
8.71,2938,30.1,57
28.61,2837,30.1,57
17.77,2899,30.3,57
4.49,2954,30.3,57
35.07,2775,30.3,57
16.92,2903,30.1,57
4.22,2955,30.1,57
27.31,2846,30.1,57
16.92,2903,30.9,57
6.9,2945,30.9,57
-199.59,3359,30.9,57
16.92,2903,30.8,57
6.9,2945,30.8,57
27.9,2842,30.8,57
17.77,2899,30.8,57
7.94,2941,30.8,57
-119.61,3239,30.8,57
18.4,2896,30.8,57
4.22,2955,30.8,57
29.03,2834,30.8,57
-1.49,2975,30.2,57
7.68,2942,30.2,57
24.43,2864,30.2,57
17.14,2902,30.4,57
7.42,2943,30.4,57
25.27,2859,30.4,57
18.4,2896,30.1,57
35.61,2663,30.1,57
28.47,2838,30.1,57
15.39,2910,30.2,57
8.46,2939,30.2,57
28.47,2838,30.2,57
16.92,2903,30.5,57
36.73,2688,30.5,57
30.82,2820,30.5,57
16.49,2905,30.7,57
4.49,2954,30.7,57
28.89,2835,30.7,57
16.92,2903,30.6,57
5.84,2949,30.6,57
28.33,2839,30.6,57
17.98,2898,30.2,57
11.68,2926,30.2,57
27.76,2843,30.2,57
17.77,2899,30.9,57
7.16,2944,30.9,57
28.89,2835,30.9,57
17.14,2902,30,57
8.96,2937,30,57
28.05,2841,30,57
14.49,2914,30.9,57
5.3,2951,30.9,57
-134.3,3263,30.9,57
17.56,2900,30,57
5.3,2951,30,57
34.36,2645,30,57
17.14,2902,30.2,57
8.46,2939,30.2,57
30.08,2826,30.2,57
17.77,2899,30.8,57
9.47,2935,30.8,57
27.76,2843,30.8,57
17.56,2900,30,57
-106.16,3216,30,57
33.18,2798,30,57
16.92,2903,30.2,57
10.47,2931,30.2,57
29.16,2833,30.2,57
16.49,2905,30.8,57
6.9,2945,30.8,57
23.92,2867,30.8,57
17.77,2899,30,57
36.34,2752,30,57
26.86,2849,30,57
16.92,2903,30.6,57
9.47,2935,30.6,57
29.03,2834,30.6,57
16.92,2903,30.4,57
11.2,2928,30.4,57
28.05,2841,30.4,57
16.92,2903,30.7,57
7.42,2943,30.7,57
26.24,2853,30.7,57
17.77,2899,30.4,57
-41.27,2344,30.4,57
29.56,2830,30.4,57
17.56,2900,30.7,57
3.11,2959,30.7,57
29.56,2830,30.7,57
17.14,2902,30.5,57
7.94,2941,30.5,57
29.16,2833,30.5,57
16.92,2903,30.7,57
11.2,2928,30.7,57
-217.19,2047,30.7,57
15.84,2908,30.5,57
4.22,2955,30.5,57
28.89,2835,30.5,57
17.14,2902,30.7,57
8.71,2938,30.7,57
29.69,2829,30.7,57
17.14,2902,30.5,57
9.97,2933,30.5,57
31.29,2816,30.5,57
17.77,2899,30.3,57
8.71,2938,30.3,57
26.55,2851,30.3,57
16.92,2903,30.8,57
11.2,2928,30.8,57
30.45,2823,30.8,57
17.14,2902,30.5,57
12.64,2922,30.5,57
27.46,2845,30.5,57
17.77,2899,30.9,57
6.64,2946,30.9,57
36.74,2741,30.9,57
12.4,2923,30,57
7.42,2943,30,57
26.24,2853,30,57
7.16,2944,30.6,57
6.11,2948,30.6,57
26.55,2851,30.6,57
17.35,2901,30.4,57
7.42,2943,30.4,57
27.9,2842,30.4,57
17.77,2899,30.7,57
9.47,2935,30.7,57
28.89,2835,30.7,57
17.35,2901,30.1,57
3.11,2959,30.1,57
29.43,2831,30.1,57
17.77,2899,30.6,57
5.57,2950,30.6,57
35.23,2657,30.6,57
17.14,2902,30.4,57
6.9,2945,30.4,57
29.43,2831,30.4,57
17.14,2902,30.7,57
