Moisture,ADC,Temperature,Humidity
11.68,2926,30.8,53
11.2,2928,30.4,53
10.96,2929,30.7,53
11.2,2928,30,53
1.42,2965,30.8,53
12.4,2923,30.7,53
12.4,2923,30,53
11.92,2925,30.5,53
13.58,2918,30.1,53
11.44,2927,30.5,53
12.16,2924,30.4,53
11.92,2925,30.1,53
12.4,2923,30.8,53
9.97,2933,30.6,53
18.61,2895,30.4,53
14.95,2912,30,53
8.71,2938,30.9,53
11.68,2926,30.1,53
11.2,2928,30.8,53
11.2,2928,30.1,53
8.96,2937,30.2,53
7.42,2943,30.9,53
11.44,2927,30.6,53
11.44,2927,30.4,53
11.2,2928,30.1,53
9.47,2935,30.8,53
13.81,2917,30.1,53
11.92,2925,30.8,53
10.71,2930,30.1,53
12.4,2923,30.9,53
11.92,2925,30,53
10.47,2931,30.8,53
11.44,2927,30.1,53
11.2,2928,30.2,53
10.47,2931,30.2,53
12.64,2922,30.2,53
19.01,2893,30.9,53
21.75,2879,30.6,53
10.71,2930,30.4,53
9.72,2934,30.1,53
3.11,2959,30.7,53
11.44,2927,30.4,53
11.2,2928,30.7,53
14.49,2914,30,53
14.49,2914,30.8,53
13.81,2917,30.6,53
12.4,2923,30.4,53
11.92,2925,30.1,53
11.2,2928,30.8,53
11.2,2928,30.7,53
11.44,2927,30.4,53
11.68,2926,30.5,53
-1.49,2975,30.3,53
10.22,2932,30.7,53
12.4,2923,30.4,53
12.4,2923,30.1,53
12.64,2922,30.9,53
7.94,2941,30.7,53
11.2,2928,30.3,53
12.4,2923,30.1,53
11.68,2926,30.8,53
11.2,2928,30.7,53
11.92,2925,30.4,53
9.47,2935,30,53
11.92,2925,30.9,53
11.2,2928,30.6,53
11.2,2928,30.5,53
2.83,2960,30,53
11.44,2927,30.8,53
-11.91,3008,30.1,53
11.92,2925,30.8,53
11.44,2927,30.1,53
16.49,2905,30.8,53
11.2,2928,30.1,53
13.34,2919,30.2,53
11.2,2928,30.9,53
11.92,2925,30.6,53
14.27,2915,30.3,53
10.47,2931,30.9,53
-0.61,2972,30.6,53
11.68,2926,30.5,53
15.39,2910,30.6,53
7.42,2943,30.5,53
13.34,2919,30.7,53
11.2,2928,30.3,53
14.49,2914,30.7,53
11.92,2925,30.4,53
11.44,2927,30.4,53
-8.62,2998,30.7,53
10.96,2929,30.9,53
11.2,2928,30.7,53
10.71,2930,30.3,53
11.2,2928,30.2,53
11.44,2927,30.8,53
11.2,2928,30.4,53
11.2,2928,30.2,53
11.2,2928,30.8,53
12.4,2923,30,53
11.92,2925,30.7,53
10.71,2930,30.3,53
9.97,2933,30.2,53
11.2,2928,30.8,53
12.4,2923,30,53
12.4,2923,30.7,53
11.68,2926,30.5,53
12.64,2922,30.9,53
11.68,2926,30.4,53
8.71,2938,30.9,53
11.68,2926,30.9,53
10.96,2929,30.5,53
11.92,2925,30.9,53
11.2,2928,30.9,53
11.92,2925,30.5,53
11.2,2928,30.9,53
12.4,2923,30.3,53
6.64,2946,30.1,53
11.44,2927,30.2,53
11.44,2927,30.7,53
11.2,2928,30,53
11.44,2927,30.3,53
11.2,2928,30.7,53
11.2,2928,30,53
11.2,2928,30.8,53
11.2,2928,30,53
11.92,2925,30.8,53
12.88,2921,30.2,53
11.92,2925,30.7,53
11.68,2926,30.4,53
9.97,2933,30.1,53
11.2,2928,30.4,53
11.68,2926,30.6,53
11.2,2928,30.4,53
11.44,2927,30.1,53
14.95,2912,30.4,53
11.2,2928,30.5,53
11.68,2926,30.5,53
11.44,2927,30.5,53
11.44,2927,30.5,53
11.44,2927,30.5,53
12.16,2924,30.4,53
11.44,2927,30.1,53
11.92,2925,30.4,53
11.2,2928,30.1,53
11.44,2927,30.3,53
12.16,2924,30,53
11.2,2928,30.3,53
11.2,2928,30,53
11.68,2926,30.9,53
10.96,2929,30.7,53
