temperature,humidity,ADC,meter
30.8,53,2926,10.8
30.4,53,2928,10.9
30.7,53,2929,10.8
30,53,2928,10.8
30.8,53,2965,10.8
30.7,53,2923,10.8
30,53,2923,10.8
30.5,53,2925,10.8
30.1,53,2918,10.8
30.5,53,2927,10.8
30.4,53,2924,10.8
30.1,53,2925,10.9
30.8,53,2923,10.9
30.6,53,2933,10.9
30.4,53,2895,10.9
30,53,2912,10.9
30.9,53,2938,10.9
30.1,53,2926,10.9
30.8,53,2928,10.9
30.1,53,2928,10.9
30.2,53,2937,10.9
30.9,53,2943,10.9
30.6,53,2927,10.9
30.4,53,2927,10.9
30.1,53,2928,10.9
30.8,53,2935,10.9
30.1,53,2917,10.9
30.8,53,2925,10.9
30.1,53,2930,10.9
30.9,53,2923,10.9
30,53,2925,10.9
30.8,53,2931,10.9
30.1,53,2927,10.9
30.2,53,2928,10.9
30.2,53,2931,10.9
30.2,53,2922,10.9
30.9,53,2893,10.9
30.6,53,2879,10.9
30.4,53,2930,10.9
30.1,53,2934,10.9
30.7,53,2959,10.9
30.4,53,2927,10.9
30.7,53,2928,10.9
30,53,2914,10.9
30.8,53,2914,10.9
30.6,53,2917,10.9
30.4,53,2923,10.9
30.1,53,2925,10.9
30.8,53,2928,10.9
30.7,53,2928,10.9
