Moisture,ADC,Temperature,Humidity
-38.41,3248,31.4,59
6.11,2951,31.4,59
6.18,2950,31.8,60
11.81,2845,31.8,60
-0.49,3020,31.7,60
11.03,2868,31.7,60
4.43,2971,31.4,60
8.83,2912,31.4,60
7.59,2931,31,60
11.22,2863,31,60
9.24,2905,31.5,60
11.6,2852,31.5,60
6.03,2952,31.1,60
10.14,2888,31.1,60
5.04,2964,31.9,60
10.74,2875,31.9,60
7.66,2930,31.4,59
10.73,2695,31.4,59
12.2,2741,31.8,59
9.94,2892,31.8,59
5.95,2953,31.5,59
11.87,2843,31.5,59
4.43,2971,31.8,59
10.74,2875,31.8,59
4.34,2972,31.3,60
10.43,2882,31.3,60
-65.85,3359,31.1,60
11.29,2861,31.1,60
5.37,2960,31.8,60
10.19,2887,31.8,60
-1.05,3025,31.3,60
10.38,2883,31.3,60
5.54,2958,31.9,60
10.99,2869,31.9,60
5.95,2953,31.3,60
10.95,2870,31.3,60
6.57,2945,31.8,60
8,2925,31.8,60
4.95,2965,31.7,60
-136.82,3577,31.7,60
5.87,2954,31.3,60
11.11,2866,31.3,60
5.29,2961,31.9,60
11.03,2868,31.9,60
-16.02,3132,31.4,60
5.87,2954,31.4,60
5.29,2961,31.2,60
12.65,2793,31.2,60
7.66,2930,31.5,60
10.74,2875,31.5,60
6.65,2944,31.4,60
11.18,2864,31.4,60
7.8,2928,31.9,60
10.78,2874,31.9,60
5.37,2960,31.3,60
5.37,2960,31.3,60
8.52,2917,31.8,60
8.77,2913,31.8,60
6.18,2950,31.3,60
10.24,2886,31.3,60
5.79,2955,31.5,60
10.38,2883,31.5,60
-22.1,3167,31,60
10.74,2875,31,60
3.14,2985,31.4,60
-139.1,3583,31.4,60
-16.52,3135,31.2,60
11.4,2858,31.2,60
-1.75,3031,31.8,60
11.53,2854,31.8,60
3.8,2978,31.3,60
9.18,2906,31.3,60
8.33,2920,31.2,60
10.43,2882,31.2,60
7.66,2930,31.9,60
5.46,2959,31.9,60
8.77,2913,31.7,60
10.7,2876,31.7,60
5.87,2954,31.3,60
10.95,2870,31.3,60
10.47,2881,31.1,60
9.99,2891,31.1,60
6.11,2951,31.8,60
10.33,2884,31.8,60
5.54,2958,31.4,60
10.56,2879,31.4,60
-134.19,3570,31.2,60
11.53,2854,31.2,60
6.18,2950,31.3,60
11.53,2854,31.3,60
-13.91,3119,31.8,60
10.56,2879,31.8,60
5.95,2953,31.3,60
-98.83,3469,31.3,60
4.52,2970,31.9,60
7.66,2930,31.9,60
8.07,2924,31.4,60
10.43,2882,31.4,60
5.54,2958,31.9,60
10.91,2871,31.9,60
6.11,2951,31.4,60
-16.19,3133,31.4,60
6.42,2947,31.1,60
11.11,2866,31.1,60
7.87,2927,31.3,60
9.89,2893,31.3,60
5.21,2962,31.8,60
10.24,2886,31.8,60
-0.26,3018,31.4,60
11.07,2867,31.4,60
-45.25,3278,31.8,60
-25.27,3184,31.8,60
7.87,2927,31.5,60
-22.47,3169,31.5,60
5.37,2960,31.1,60
12.05,2836,31.1,60
4.95,2965,31.5,60
12.16,2831,31.5,60
3.89,2977,31.1,60
10.65,2877,31.1,60
0.29,3013,31.5,60
11.81,2845,31.5,60
1.76,2999,31.3,60
4.43,2971,31.3,60
7.87,2927,31.5,60
10.52,2880,31.5,60
5.12,2963,31.9,60
11.07,2867,31.9,60
7.8,2928,31.4,59
9.79,2895,31.4,59
9.28,2666,31.4,60
10.29,2885,31.4,60
12.36,2821,31.6,60
11.78,2846,31.6,60
7.38,2934,31.3,59
10.65,2877,31.3,59
6.95,2940,31.6,59
10.52,2880,31.6,59
6.95,2940,31.8,59
12.21,2829,31.8,59
2.76,2989,31.9,59
-19.6,3153,31.9,59
6.11,2951,31.9,59
8.77,2913,31.9,59
7.09,2938,31.5,59
9.68,2897,31.5,59
6.8,2942,31.4,59
10.56,2879,31.4,59
-65.3,3357,31.6,59
10.24,2886,31.6,59
5.37,2960,31.7,59
12.57,2805,31.7,59
-0.15,3017,31.3,59
8.83,2912,31.3,59
-21.96,2404,31.6,59
10.95,2870,31.6,59
7.09,2938,31.8,59
9.79,2895,31.8,59
5.62,2957,31.9,59
12.66,2782,31.9,59
4.16,2974,31,59
10.74,2875,31,59
7.87,2927,31,59
12,2838,31,59
5.37,2960,31.2,59
12.65,2777,31.2,59
3.52,2981,31.1,59
8.77,2913,31.1,59
6.11,2951,31.7,59
11.22,2863,31.7,59
7.02,2939,31.8,59
10.74,2875,31.8,59
7.38,2934,31.9,59
10.29,2885,31.9,59
6.72,2943,31.7,59
8.77,2913,31.7,59
2.26,2994,31.5,59
9.94,2892,31.5,59
-0.15,3017,31.8,59
6.95,2940,31.8,59
5.37,2960,31.2,59
10.52,2880,31.2,59
7.8,2928,31.7,60
8.75,2657,31.7,60
5.46,2959,31.7,59
11.62,2719,31.7,59
-2.25,2535,31.2,59
7.66,2930,31.2,59
2.36,2993,31.4,59
12.45,2815,31.4,59
7.8,2928,31.3,59
10.82,2873,31.3,59
6.26,2949,31.4,59
10.99,2869,31.4,59
5.37,2960,31.7,59
11.07,2867,31.7,59
6.49,2946,31.2,59
9.24,2905,31.2,59
5.54,2958,31.7,59
11.6,2852,31.7,59
3.98,2976,31.8,59
11.36,2859,31.8,59
-6.82,3071,31,59
11.11,2866,31,59
8.2,2922,31.4,59
10.99,2869,31.4,59
12.6,2768,31.9,59
10.78,2874,31.9,59
10.47,2881,31.5,59
7.66,2930,31.5,59
5.62,2957,31.7,59
12.07,2835,31.7,59
6.72,2943,31.8,59
9.68,2897,31.8,59
4.95,2965,31.2,59
11.18,2864,31.2,59
5.37,2960,31.2,59
10.74,2875,31.2,59
2.46,2992,31.9,59
12.39,2751,31.9,59
9.41,2902,31.7,59
10.47,2881,31.7,59
7.93,2926,31,59
10.56,2879,31,59
3.42,2982,31.7,59
11.18,2864,31.7,59
5.37,2960,31.8,59
10.43,2882,31.8,59
5.62,2957,31,59
10.99,2869,31,59
5.95,2953,31.5,59
9.11,2663,31.5,59
6.49,2946,31.4,59
11.22,2863,31.4,59
5.87,2954,31.4,59
10.78,2874,31.4,59
11.21,2707,31.4,59
3.89,2977,31.4,59
10.42,2688,31.4,59
11.63,2851,31.4,59
6.57,2945,31.9,59
10.91,2871,31.9,59
-22.1,3167,31.4,59
11.11,2866,31.4,59
5.79,2955,31.8,59
10.99,2869,31.8,59
5.37,2960,31.5,59
11.36,2859,31.5,59
7.45,2933,31.6,59
6.93,2630,31.6,59
4.78,2967,31.7,59
11.22,2863,31.7,59
7.02,2939,31.1,59
-57.34,3327,31.1,59
7.87,2927,31.3,59
10.99,2869,31.3,59
5.54,2958,31.3,59
9.68,2897,31.3,59
4.25,2973,31.6,59
5.46,2959,31.6,59
10.52,2880,31.9,59
-157.1,3629,31.9,59
6.8,2942,31.5,59
10.78,2874,31.5,59
7.66,2930,31.7,59
12.49,2812,31.7,59
8.95,2910,31,59
9.89,2893,31,59
-52.02,3306,31.5,59
10.99,2869,31.5,59
2.85,2988,31.5,59
10.47,2881,31.5,59
5.62,2957,31.8,59
11.26,2862,31.8,59
5.37,2960,31.9,59
11.18,2864,31.9,59
3.33,2983,31.5,59
10.19,2887,31.5,59
6.72,2943,31.7,59
12.05,2836,31.7,59
5.37,2960,31.2,59
10.82,2873,31.2,59
-77.17,3399,31.9,59
10.95,2870,31.9,59
-14.07,3120,31.1,59
11.11,2866,31.1,59
6.95,2940,31.2,59
10.38,2883,31.2,59
6.72,2943,31.6,59
7.8,2928,31.6,59
-4.19,3051,31,59
9.12,2907,31,59
-0.49,3020,31.4,59
11.22,2863,31.4,59
3.87,2593,31.7,59
11.26,2862,31.7,59
5.62,2957,31.9,59
9.24,2905,31.9,59
6.57,2945,31.5,59
9.12,2907,31.5,59
6.87,2941,31.6,59
12.36,2821,31.6,59
3.61,2980,31.1,59
10.7,2876,31.1,59
7.02,2939,31.7,59
11.18,2864,31.7,59
5.54,2958,31.7,59
11.11,2866,31.7,59
-20.84,3160,31,59
11.81,2845,31,59
7.66,2930,31.4,59
9.99,2891,31.4,59
6.34,2948,31.2,59
10.38,2883,31.2,59
7.02,2939,31.4,59
12.12,2833,31.4,59
6.65,2944,31.7,59
11.11,2866,31.7,59
5.21,2962,31.1,59
10.47,2881,31.1,59
6.72,2943,31.7,59
10.19,2887,31.7,59
6.72,2943,31.2,59
10.04,2890,31.2,59
5.37,2960,31.2,59
10.04,2890,31.2,59
6.72,2943,31.3,59
10.47,2881,31.3,59
6.18,2950,31.3,59
11.81,2845,31.3,59
-2.94,3041,31.3,59
7.73,2929,31.3,59
4.95,2965,31.4,59
-0.74,2548,31.4,59
7.31,2935,31.8,59
11.36,2859,31.8,59
6.49,2946,31.4,59
10.91,2871,31.4,59
7.31,2935,31.6,59
11.07,2867,31.6,59
1.96,2997,31.8,59
10.56,2879,31.8,59
-0.94,3024,31.5,59
12.07,2835,31.5,59
1.14,3005,31.7,59
10.91,2871,31.7,59
3.7,2979,31.8,59
10.24,2886,31.8,59
9.07,2908,31.4,59
11.33,2860,31.4,59
5.37,2960,31.3,59
11.07,2867,31.3,59
-100.47,3474,31.4,59
12.1,2834,31.4,59
11.4,2858,31.3,59
11.14,2865,31.3,59
5.79,2955,31.6,59
7.59,2931,31.6,59
7.52,2932,31.4,59
12.02,2837,31.4,59
9.35,2903,31.3,59
7.44,2637,31.3,59
5.54,2958,31.6,59
10.38,2883,31.6,59
4.43,2971,31.4,59
7.02,2939,31.4,59
7.09,2938,31.1,59
10.7,2876,31.1,59
5.21,2962,31.9,59
11.18,2864,31.9,59
7.17,2937,31.5,59
12.16,2831,31.5,59
8,2925,31.8,59
3.89,2977,31.8,59
6.42,2947,31.9,59
8.26,2921,31.9,59
7.02,2939,31.7,59
3.89,2977,31.7,59
3.33,2983,31,59
11.33,2860,31,59
-5.74,3063,31.1,59
10.52,2880,31.1,59
4.78,2967,31.4,59
11.11,2866,31.4,59
-57.34,3327,31.7,59
10.7,2876,31.7,59
6.18,2950,31.1,59
10.82,2873,31.1,59
7.59,2931,31.6,59
11.14,2865,31.6,59
5.7,2956,31.2,59
12.67,2787,31.2,59
8.83,2912,31.8,59
9.68,2897,31.8,59
7.73,2929,31.1,59
11.84,2844,31.1,59
3.14,2985,31.3,59
10.61,2878,31.3,59
5.54,2958,31.7,59
6.8,2942,31.7,59
8.89,2911,31.5,59
11.22,2863,31.5,59
-0.38,3019,31.2,59
10.56,2879,31.2,59
7.93,2926,31.3,59
9.89,2893,31.3,59
5.37,2960,31.4,59
10.74,2875,31.4,59
5.95,2953,31.8,59
10.61,2878,31.8,59
-163.6,3645,31.5,59
4.07,2975,31.5,59
5.37,2960,31.2,59
11.07,2867,31.2,59
1.45,3002,31.4,59
10.61,2878,31.4,59
4.07,2975,31.6,59
-12.34,3109,31.6,59
-13.28,3115,31.8,59
10.82,2873,31.8,59
4.43,2971,31.9,59
11.18,2864,31.9,59
4.52,2970,31.5,59
10.47,2881,31.5,59
4.87,2966,31.3,59
8.64,2915,31.3,59
6.72,2943,31.9,59
12.65,2792,31.9,59
2.36,2993,31.2,59
11.5,2855,31.2,59
5.7,2956,31.7,59
10.47,2881,31.7,59
6.26,2949,31.9,59
9.73,2896,31.9,59
6.72,2943,31.1,59
11.14,2865,31.1,59
11.53,2854,31.5,59
9.73,2896,31.5,59
5.37,2960,31.4,59
11.18,2864,31.4,59
3.89,2977,31.9,59
9.79,2895,31.9,59
6.26,2949,31,59
6.72,2943,31,59
-0.94,3024,31.5,59
10.95,2870,31.5,59
7.8,2928,31.6,59
11.53,2854,31.6,59
3.33,2983,31.6,59
3.05,2986,31.6,59
6.42,2947,31.9,59
7.45,2933,31.9,59
9.18,2906,31.9,59
11.33,2860,31.9,59
6.57,2945,31.8,59
10.56,2879,31.8,59
5.79,2955,31.7,59
10.56,2879,31.7,59
5.37,2960,31.3,59
9.46,2901,31.3,59
8.13,2923,31.7,59
11.78,2846,31.7,59
3.14,2985,31.8,59
8.2,2922,31.8,59
6.42,2947,31.4,59
11.18,2864,31.4,59
12.05,2836,31.3,59
10.99,2869,31.3,59
5.12,2963,31.9,59
10.56,2879,31.9,59
6.42,2947,31.5,59
12.16,2831,31.5,59
-199.27,3728,31.6,59
8.64,2915,31.6,59
9.57,2899,31.8,59
11.43,2857,31.8,59
8.26,2921,31.4,59
8.13,2923,31.4,59
4.07,2975,31.7,59
11.07,2867,31.7,59
3.7,2979,31.4,58
10.95,2870,31.4,58
6.11,2951,31.4,58
10.82,2873,31.4,58
6.18,2950,31.6,58
11.89,2842,31.6,58
-4.7,3055,31.6,58
10.43,2882,31.6,58
3.52,2981,31.9,58
11.72,2848,31.9,58
7.52,2932,31.5,58
10.43,2882,31.5,58
-12.65,3111,31.1,58
12.39,2819,31.1,58
5.54,2958,31.7,58
9.84,2894,31.7,58
3.33,2983,31.4,58
11.6,2852,31.4,58
