temp,humid,adc,meter
29.8,54,2899,7.2
29.5,54,2909,7.3
29.8,54,2912,7.3
29.4,54,2845,7.3
29,54,2923,7.5
29.4,54,2897,7.5
29,54,2914,7.4
29.8,54,2895,7.4
29.3,54,2905,7.4
29.8,54,2925,7.4
29.5,54,2887,7.4
29.6,54,2907,7.4
29,54,2908,7.4
29.7,54,2864,7.4
29.2,54,2911,7.4
29.6,54,2907,7.4
29.3,54,2945,7.4
29.8,54,2854,7.4
29.5,54,2896,7.4
29.9,54,2894,7.4
29.9,54,2902,7.4
29.5,54,2906,7.4
29.3,54,2908,7.4
29.1,54,2928,7.4
29.3,54,2916,7.4
29,54,2906,7.4
29.1,54,2909,7.4
29.3,54,2901,7.4
29.5,54,2907,7.4
29.8,54,2913,7.4
29.5,54,2907,7.4
29.8,54,2905,7.4
29.8,54,2911,7.4
29.4,54,2906,7.4
29.1,54,2953,7.4
29.2,54,2914,7.4
29.6,54,2914,7.4
29.4,54,2830,7.4
29.2,54,2910,7.2
29.8,54,2918,7.2
29.8,54,2905,7.3
29.2,54,2922,7.3
29,54,2891,7.3
29.3,54,5896,7.3
29.7,54,3010,7.3
29.5,54,2898,7.3
29.7,54,2905,7.3
29.5,54,2989,7.3
29.5,54,2910,7.3
29.7,54,2910,7.3
29.5,54,2910,7.3
29.7,54,2915,7.3
29.8,54,2899,7.3
29.4,54,2913,7.3
29.9,54,2912,7.4
29.9,54,2911,7.4
29.3,54,2913,7.4
29.8,54,2924,7.4
29.6,54,2910,7.4
29.1,54,2910,7.4
29.3,54,2913,7.4
29,54,2911,7.4
29.7,54,2914,7.4
29.3,54,2909,7.4
29.7,54,2914,7.4
29.8,54,2928,7.4
29.8,54,2918,7.4
29.3,54,2908,7.4
29.1,54,3065,7.4
29.4,54,2894,7.4
29.3,54,2907,7.4
29.9,54,2912,7.4
29.2,54,2802,7.4
29.4,54,2934,7.4
29.4,54,2924,7.4
29.9,54,2924,7.4
29.3,54,2913,7.4
29.2,54,2919,7.4
29.3,54,2880,7.4
29.7,54,2910,7.5
29.9,53,2977,7.5
29.7,54,2917,7.5
29.4,54,2931,7.5
29.8,54,2907,7.6
29.3,54,2911,7.5
29.9,53,2977,7.6
29.7,54,2917,7.6
29.4,54,2931,7.6
29.8,54,2907,7.5
29.2,53,2919,7.4
29.2,53,2898,7.4
29.8,53,2919,7.4
29.8,53,2898,7.4
29.2,53,2910,7.4
29.6,53,2910,7.4
29.9,53,2932,7.4
29.8,53,2899,7.4
29.8,53,2932,7.4
29.9,53,2932,7.4
29.9,53,2899,7.4
29.8,53,2911,7.4
