Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
6.11,2951,31.4,59,Mustard,6.11,custom_meter
6.18,2950,31.8,60,Mustard,6.18,custom_meter
11.81,2845,31.8,60,Mustard,11.81,custom_meter
11.03,2868,31.7,60,Mustard,11.03,custom_meter
4.43,2971,31.4,60,Mustard,4.43,custom_meter
8.83,2912,31.4,60,Mustard,8.83,custom_meter
7.59,2931,31.0,60,Mustard,7.59,custom_meter
11.22,2863,31.0,60,Mustard,11.22,custom_meter
9.24,2905,31.5,60,Mustard,9.24,custom_meter
11.6,2852,31.5,60,Mustard,11.6,custom_meter
6.03,2952,31.1,60,Mustard,6.03,custom_meter
10.14,2888,31.1,60,Mustard,10.14,custom_meter
5.04,2964,31.9,60,Mustard,5.04,custom_meter
10.74,2875,31.9,60,Mustard,10.74,custom_meter
7.66,2930,31.4,59,Mustard,7.66,custom_meter
10.73,2695,31.4,59,Mustard,10.73,custom_meter
12.2,2741,31.8,59,Mustard,12.2,custom_meter
9.94,2892,31.8,59,Mustard,9.94,custom_meter
5.95,2953,31.5,59,Mustard,5.95,custom_meter
11.87,2843,31.5,59,Mustard,11.87,custom_meter
4.43,2971,31.8,59,Mustard,4.43,custom_meter
10.74,2875,31.8,59,Mustard,10.74,custom_meter
4.34,2972,31.3,60,Mustard,4.34,custom_meter
10.43,2882,31.3,60,Mustard,10.43,custom_meter
11.29,2861,31.1,60,Mustard,11.29,custom_meter
5.37,2960,31.8,60,Mustard,5.37,custom_meter
10.19,2887,31.8,60,Mustard,10.19,custom_meter
10.38,2883,31.3,60,Mustard,10.38,custom_meter
5.54,2958,31.9,60,Mustard,5.54,custom_meter
10.99,2869,31.9,60,Mustard,10.99,custom_meter
5.95,2953,31.3,60,Mustard,5.95,custom_meter
10.95,2870,31.3,60,Mustard,10.95,custom_meter
6.57,2945,31.8,60,Mustard,6.57,custom_meter
8.0,2925,31.8,60,Mustard,8.0,custom_meter
4.95,2965,31.7,60,Mustard,4.95,custom_meter
5.87,2954,31.3,60,Mustard,5.87,custom_meter
11.11,2866,31.3,60,Mustard,11.11,custom_meter
5.29,2961,31.9,60,Mustard,5.29,custom_meter
11.03,2868,31.9,60,Mustard,11.03,custom_meter
5.87,2954,31.4,60,Mustard,5.87,custom_meter
5.29,2961,31.2,60,Mustard,5.29,custom_meter
12.65,2793,31.2,60,Mustard,12.65,custom_meter
7.66,2930,31.5,60,Mustard,7.66,custom_meter
10.74,2875,31.5,60,Mustard,10.74,custom_meter
6.65,2944,31.4,60,Mustard,6.65,custom_meter
11.18,2864,31.4,60,Mustard,11.18,custom_meter
7.8,2928,31.9,60,Mustard,7.8,custom_meter
10.78,2874,31.9,60,Mustard,10.78,custom_meter
5.37,2960,31.3,60,Mustard,5.37,custom_meter
8.52,2917,31.8,60,Mustard,8.52,custom_meter
8.77,2913,31.8,60,Mustard,8.77,custom_meter
6.18,2950,31.3,60,Mustard,6.18,custom_meter
10.24,2886,31.3,60,Mustard,10.24,custom_meter
5.79,2955,31.5,60,Mustard,5.79,custom_meter
10.38,2883,31.5,60,Mustard,10.38,custom_meter
10.74,2875,31.0,60,Mustard,10.74,custom_meter
3.14,2985,31.4,60,Mustard,3.14,custom_meter
11.4,2858,31.2,60,Mustard,11.4,custom_meter
11.53,2854,31.8,60,Mustard,11.53,custom_meter
3.8,2978,31.3,60,Mustard,3.8,custom_meter
9.18,2906,31.3,60,Mustard,9.18,custom_meter
8.33,2920,31.2,60,Mustard,8.33,custom_meter
10.43,2882,31.2,60,Mustard,10.43,custom_meter
7.66,2930,31.9,60,Mustard,7.66,custom_meter
5.46,2959,31.9,60,Mustard,5.46,custom_meter
8.77,2913,31.7,60,Mustard,8.77,custom_meter
10.7,2876,31.7,60,Mustard,10.7,custom_meter
10.47,2881,31.1,60,Mustard,10.47,custom_meter
9.99,2891,31.1,60,Mustard,9.99,custom_meter
6.11,2951,31.8,60,Mustard,6.11,custom_meter
10.33,2884,31.8,60,Mustard,10.33,custom_meter
5.54,2958,31.4,60,Mustard,5.54,custom_meter
10.56,2879,31.4,60,Mustard,10.56,custom_meter
11.53,2854,31.2,60,Mustard,11.53,custom_meter
11.53,2854,31.3,60,Mustard,11.53,custom_meter
10.56,2879,31.8,60,Mustard,10.56,custom_meter
4.52,2970,31.9,60,Mustard,4.52,custom_meter
8.07,2924,31.4,60,Mustard,8.07,custom_meter
10.43,2882,31.4,60,Mustard,10.43,custom_meter
10.91,2871,31.9,60,Mustard,10.91,custom_meter
6.11,2951,31.4,60,Mustard,6.11,custom_meter
6.42,2947,31.1,60,Mustard,6.42,custom_meter
11.11,2866,31.1,60,Mustard,11.11,custom_meter
