Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
11.68,2926,30.8,53.0,Groundnut,10.8,merged
11.2,2928,30.4,53.0,Groundnut,10.9,merged
10.96,2929,30.7,53.0,Groundnut,10.8,merged
11.2,2928,30.0,53.0,Groundnut,10.8,merged
1.42,2965,30.8,53.0,Groundnut,10.8,merged
12.4,2923,30.7,53.0,Groundnut,10.8,merged
12.4,2923,30.0,53.0,Groundnut,10.8,merged
11.92,2925,30.5,53.0,Groundnut,10.8,merged
13.58,2918,30.1,53.0,Groundnut,10.8,merged
11.44,2927,30.5,53.0,Groundnut,10.8,merged
12.16,2924,30.4,53.0,Groundnut,10.8,merged
11.92,2925,30.1,53.0,Groundnut,10.9,merged
12.4,2923,30.8,53.0,Groundnut,10.9,merged
9.97,2933,30.6,53.0,Groundnut,10.9,merged
18.61,2895,30.4,53.0,Groundnut,10.9,merged
14.95,2912,30.0,53.0,Groundnut,10.9,merged
8.71,2938,30.9,53.0,Groundnut,10.9,merged
11.68,2926,30.1,53.0,Groundnut,10.9,merged
11.2,2928,30.8,53.0,Groundnut,10.9,merged
11.2,2928,30.1,53.0,Groundnut,10.9,merged
8.96,2937,30.2,53.0,Groundnut,10.9,merged
7.42,2943,30.9,53.0,Groundnut,10.9,merged
11.44,2927,30.6,53.0,Groundnut,10.9,merged
11.44,2927,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.1,53.0,Groundnut,10.9,merged
9.47,2935,30.8,53.0,Groundnut,10.9,merged
13.81,2917,30.1,53.0,Groundnut,10.9,merged
11.92,2925,30.8,53.0,Groundnut,10.9,merged
10.71,2930,30.1,53.0,Groundnut,10.9,merged
12.4,2923,30.9,53.0,Groundnut,10.9,merged
11.92,2925,30.0,53.0,Groundnut,10.9,merged
10.47,2931,30.8,53.0,Groundnut,10.9,merged
11.44,2927,30.1,53.0,Groundnut,10.9,merged
11.2,2928,30.2,53.0,Groundnut,10.9,merged
10.47,2931,30.2,53.0,Groundnut,10.9,merged
12.64,2922,30.2,53.0,Groundnut,10.9,merged
19.01,2893,30.9,53.0,Groundnut,10.9,merged
21.75,2879,30.6,53.0,Groundnut,10.9,merged
